***********************************************************
 Czas           Środek         Powierzchnia   dT           
 354.437456324  129.819124272  167.232838647  37.4137143748
 355.555555555  129.953123232  167.300324537  37.3472013053
 356.673654786  130.086941133  167.367645215  37.2807040825
 357.791754018  130.220577096  167.434801452  37.2142243555
 358.909853249  130.354030264  167.501794010  37.1477637459
 360.027952480  130.487299796  167.568623644  37.0813238481
 361.146051712  130.620384871  167.635291101  37.0149062301
 362.264150943  130.753284688  167.701797121  36.9485124335
 363.382250174  130.885998462  167.768142436  36.8821439740
 364.500349406  131.018525429  167.834327771  36.8158023421
 365.618448637  131.150864840  167.900353843  36.7494890029
 366.736547868  131.283015965  167.966221362  36.6832053968
 367.854647099  131.414978092  168.031931032  36.6169529400
 368.972746331  131.546750524  168.097483548  36.5507330243
 370.090845562  131.678332583  168.162879601  36.4845470183
 371.208944793  131.809723605  168.228119872  36.4183962669
 372.327044025  131.940922945  168.293205037  36.3522820922
 373.445143256  132.071929972  168.358135766  36.2862057935
 374.563242487  132.202744073  168.422912721  36.2201686480
 375.681341719  132.333364647  168.487536558  36.1541719107
 376.799440950  132.463791112  168.552007927  36.0882168151
 377.917540181  132.594022899  168.616327472  36.0223045731
 379.035639412  132.724059454  168.680495830  35.9564363759
 380.153738644  132.853900238  168.744513632  35.8906133938
 381.271837875  132.983544728  168.808381504  35.8248367765
 382.389937106  133.112992412  168.872100066  35.7591076539
 383.508036338  133.242242794  168.935669930  35.6934271360
 384.626135569  133.371295391  168.999091704  35.6277963130
 385.744234800  133.500149734  169.062365990  35.5622162561
 386.862334032  133.628805368  169.125493385  35.4966880175
 387.980433263  133.757261849  169.188474480  35.4312126308
 389.098532494  133.885518749  169.251309860  35.3657911109
 390.216631726  134.013575650  169.314000105  35.3004244548
 391.334730957  134.141432147  169.376545789  35.2351136416
 392.452830188  134.269087850  169.438947482  35.1698596327
 393.570929419  134.396542377  169.501205749  35.1046633723
 394.689028651  134.523795360  169.563321148  35.0395257874
 395.807127882  134.650846445  169.625294233  34.9744477882
 396.925227113  134.777695285  169.687125554  34.9094302682
 398.043326345  134.904341549  169.748815654  34.8444741047
 399.161425576  135.030784914  169.810365072  34.7795801588
 400.279524807  135.157025069  169.871774345  34.7147492759
 401.397624039  135.283061714  169.933044000  34.6499822855
 402.515723270  135.408894561  169.994174563  34.5852800020
 403.633822501  135.534523331  170.055166555  34.5206432243
 404.751921733  135.659947755  170.116020492  34.4560727367
 405.870020964  135.785167576  170.176736885  34.3915693084
 406.988120195  135.910182546  170.237316241  34.3271336945
 408.106219426  136.034992427  170.297759062  34.2627666355
 409.224318658  136.159596990  170.358065848  34.1984688580
 410.342417889  136.283996018  170.418237093  34.1342410746
 411.460517120  136.408189301  170.478273285  34.0700839842
 412.578616352  136.532176640  170.538174912  34.0059982726
 413.696715583  136.655957843  170.597942455  33.9419846118
 414.814814814  136.779532730  170.657576391  33.8780436612
 415.932914046  136.902901127  170.717077194  33.8141760671
 417.051013277  137.026062871  170.776445334  33.7503824631
 418.169112508  137.149017807  170.835681277  33.6866634705
 419.287211740  137.271765787  170.894785485  33.6230196981
 420.405310971  137.394306673  170.953758416  33.5594517426
 421.523410202  137.516640336  171.012600525  33.4959601890
 422.641509433  137.638766652  171.071312262  33.4325456102
 423.759608665  137.760685507  171.129894075  33.3692085678
 424.877707896  137.882396795  171.188346407  33.3059496119
 425.995807127  138.003900418  171.246669699  33.2427692812
 427.113906359  138.125196284  171.304864387  33.1796681035
 428.232005590  138.246284309  171.362930904  33.1166465958
 429.350104821  138.367164416  171.420869681  33.0537052641
 430.468204053  138.487836538  171.478681142  32.9908446039
 431.586303284  138.608300611  171.536365712  32.9280651005
 432.704402515  138.728556581  171.593923810  32.8653672285
 433.822501747  138.848604400  171.651355853  32.8027514529
 434.940600978  138.968444025  171.708662254  32.7402182283
 436.058700209  139.088075423  171.765843422  32.6777679998
 437.176799440  139.207498564  171.822899767  32.6154012027
 438.294898672  139.326713427  171.879831690  32.5531182627
 439.412997903  139.445719997  171.936639594  32.4909195962
 440.531097134  139.564518265  171.993323876  32.4288056106
 441.649196366  139.683108227  172.049884930  32.3667767038
 442.767295597  139.801489885  172.106323151  32.3048332651
 443.885394828  139.919663250  172.162638925  32.2429756747
 445.003494060  140.037628336  172.218832640  32.1812043044
 446.121593291  140.155385162  172.274904679  32.1195195171
 447.239692522  140.272933756  172.330855423  32.0579216675
 448.357791754  140.390274148  172.386685250  31.9964111020
 449.475890985  140.507406377  172.442394536  31.9349881589
 450.593990216  140.624330483  172.497983651  31.8736531682
 451.712089447  140.741046516  172.553452968  31.8124064521
 452.830188679  140.857554527  172.608802852  31.7512483251
 453.948287910  140.973854575  172.664033669  31.6901790939
 455.066387141  141.089946723  172.719145781  31.6291990576
 456.184486373  141.205831039  172.774139547  31.5683085080
 457.302585604  141.321507596  172.829015326  31.5075077293
 458.420684835  141.436976471  172.883773470  31.4467969988
 459.538784067  141.552237747  172.938414334  31.3861765864
 460.656883298  141.667291510  172.992938266  31.3256467551
 461.774982529  141.782137853  173.047345614  31.2652077610
 462.893081761  141.896776870  173.101636723  31.2048598535
 464.011180992  142.011208662  173.155811937  31.1446032751
 465.129280223  142.125433334  173.209871596  31.0844382618
 466.247379454  142.239450995  173.263816038  31.0243650431
 467.365478686  142.353261757  173.317645599  30.9643838422
 468.483577917  142.466865738  173.371360614  30.9044948759
 469.601677148  142.580263058  173.424961413  30.8446983549
 470.719776380  142.693453844  173.478448327  30.7849944836
 471.837875611  142.806438223  173.531821683  30.7253834607
 472.955974842  142.919216328  173.585081807  30.6658654787
 474.074074074  143.031788297  173.638229021  30.6064407245
 475.192173305  143.144154269  173.691263648  30.5471093791
 476.310272536  143.256314387  173.744186005  30.4878716178
 477.428371767  143.368268801  173.796996411  30.4287276107
 478.546470999  143.480017659  173.849695181  30.3696775220
 479.664570230  143.591561117  173.902282628  30.3107215108
 480.782669461  143.702899332  173.954759063  30.2518597308
 481.900768693  143.814032466  174.007124796  30.1930923304
 483.018867924  143.924960681  174.059380135  30.1344194530
 484.136967155  144.035684147  174.111525384  30.0758412369
 485.255066387  144.146203033  174.163560849  30.0173578154
 486.373165618  144.256517514  174.215486830  29.9589693168
